Question,Answer,Explanation,Diagram,Mnemonic,Formula,Reference,Related,AI Notes
What is the maximum rated horsepower and engine speed (RPM) of the Cessna 172R engine?,The Cessna 172R has a rated maximum power of **160 Brake Horsepower (BHP)** at an engine speed of **2400 RPM**.,"The Cessna 172R is powered by a Textron Lycoming IO-360-L2A engine, which is a fuel-injected, horizontally opposed, air-cooled, four-cylinder engine. Knowing the maximum rated horsepower and RPM is essential for monitoring engine performance during takeoff, climb, and other high-power operations. Pilots must ensure the engine operates within these limits to avoid excessive wear or damage. This is one of the most commonly tested aircraft specifications in DGCA Technical Specific examinations.",(Add engine specification diagram here.),None,N/A,POH Section 1 – Descriptive Data – Engine (Page 1-4),"- Static RPM
- Engine Model
- Oil Capacity","• Common student mistake: Confusing the C172R engine rating (160 BHP) with the C172S (180 HP).

• Practical flying relevance: Monitor the tachometer during takeoff and climb to ensure engine RPM remains within approved limits.

• Possible oral viva question:
""What engine powers the C172R and what is its rated horsepower?""

• DGCA exam tip:
Memorise both **160 BHP** and **2400 RPM** together.

---"
What is the standard propeller diameter for the McCauley propeller installed on the Cessna 172R?,The standard propeller diameter is **75 inches**.,"The Cessna 172R uses a two-bladed, fixed-pitch McCauley propeller (Model 1C235/LFA7570). The propeller diameter directly affects thrust generation, aerodynamic efficiency, and ground clearance. During the preflight inspection, pilots should visually inspect the propeller for damage and ensure adequate ground clearance. DGCA examinations frequently test the standard propeller diameter as a direct factual question.",(Add propeller illustration here.),None,N/A,POH Section 1 – Descriptive Data – Propeller (Page 1-4),"- Engine Maximum Power
- Static RPM","• Common student mistake: Confusing the standard diameter (75 inches) with the minimum allowable diameter after maintenance.

• Practical flying relevance: Understanding propeller dimensions helps during preflight inspections and maintenance discussions.

• Possible oral viva question:
""What type of propeller is installed on the C172R, and what is its diameter?""

• DGCA exam tip:
Remember **75 inches**.

---"
What is the total usable fuel capacity of the Cessna 172R fuel system?,"The total usable fuel capacity is **53.0 U.S. gallons**, which is **26.5 gallons in each wing tank**.","The aircraft has a total fuel capacity of **56.0 U.S. gallons**, of which **3.0 U.S. gallons** are unusable (1.5 gallons per tank). Only the usable fuel may be considered for flight planning, endurance, and range calculations. Using total fuel instead of usable fuel may result in inaccurate performance planning and reduced fuel reserves. DGCA examinations commonly test the difference between usable and unusable fuel.",(Add fuel tank diagram here.),None,"Usable Fuel = Total Fuel − Unusable Fuel

56.0 gal − 3.0 gal = **53.0 gal**",POH Section 1 – Descriptive Data – Fuel (Page 1-4),"- Fuel Grades
- Weight and Balance
- Flight Planning","• Common student mistake: Calculating endurance using **56 gallons** instead of **53 gallons**.

• Practical flying relevance: Use only usable fuel when planning range, endurance, and reserve fuel.

• Possible oral viva question:
""How much unusable fuel does the C172R carry, and why can't it be used?""

• DGCA exam tip:
Remember:
53 gallons usable
56 gallons total
3 gallons unusable

---"
"Which fuel grades are approved for use in the Cessna 172R, and what are their respective colours?","The approved fuel grades are:

• **100LL (Low Lead)** – Blue

• **100 Grade** – Green","Using the correct fuel grade is essential for safe engine operation. Incorrect fuel can cause engine damage, detonation, or failure. During the preflight inspection, fuel should be sampled to check for contamination, water, sediment, and the correct colour. DGCA examinations often ask candidates to identify approved fuel grades and their associated colours.",(Add fuel sampler illustration here.),None,N/A,POH Section 1 – Descriptive Data – Fuel (Page 1-4),"- Usable Fuel Capacity
- Preflight Inspection
- Fuel System","• Common student mistake: Mixing up fuel colours or assuming automotive gasoline is approved.

• Practical flying relevance: Always verify fuel colour during sump checks before flight.

• Possible oral viva question:
""What colour should 100LL fuel be?""

• DGCA exam tip:
100LL = Blue

100 = Green"
What is the oil capacity of the Cessna 172R engine sump?,The engine sump oil capacity is **8 U.S. Quarts**.,"The total oil system capacity is **9 U.S. Quarts**, with the engine sump holding **8 U.S. Quarts**. Engine oil lubricates moving parts, assists in cooling, and helps remove contaminants from the engine. During the preflight inspection, pilots should check the oil level using the dipstick. The POH also recommends operating with at least **5 quarts** of oil, while **8 quarts** is recommended for extended flights. DGCA examinations commonly test both sump capacity and total oil capacity.",(Add engine oil system diagram here.),None,N/A,POH Section 1 – Descriptive Data – Oil (Page 1-5),"- Engine Maximum Power
- Preflight Inspection
- Oil System","• Common student mistake: Confusing sump capacity (8 quarts) with total oil system capacity (9 quarts).

• Practical flying relevance: Always verify oil quantity during the walk-around before every flight.

• Possible oral viva question:
""What is the recommended oil quantity before an extended flight?""

• DGCA exam tip:
Remember:
8 Quarts = Sump
9 Quarts = Total System

---"
"What are the maximum ramp, takeoff, and landing weights for the Cessna 172R in the Normal Category?","Maximum Ramp Weight: **2457 lbs**

Maximum Takeoff Weight: **2450 lbs**

Maximum Landing Weight: **2450 lbs**","The Normal Category limits define the maximum certified operating weights for standard flight operations. The ramp weight is slightly higher than the takeoff weight because it includes the fuel expected to be consumed during engine start, taxi, and run-up before takeoff. Operating above these limits reduces aircraft performance and may exceed structural design limitations. These values are among the most frequently tested figures in DGCA Technical Specific examinations.",(Add weight limitation diagram here.),None,Takeoff Weight = Ramp Weight − Taxi Fuel,POH Section 1 – Maximum Certificated Weights (Page 1-6),"- Utility Category Weights
- Weight & Balance
- Reference Datum","• Common student mistake: Assuming the landing weight is lower than the takeoff weight, as in larger transport aircraft.

• Practical flying relevance: These values are required during every weight and balance calculation.

• Possible oral viva question:
""Why is maximum ramp weight greater than maximum takeoff weight?""

• DGCA exam tip:

Ramp = **2457 lbs**

Takeoff = **2450 lbs**

Landing = **2450 lbs**

---"
"What are the maximum ramp, takeoff, and landing weights for the Cessna 172R in the Utility Category?","Maximum Ramp Weight: **2107 lbs**

Maximum Takeoff Weight: **2100 lbs**

Maximum Landing Weight: **2100 lbs**","The Utility Category is intended for specific flight training manoeuvres, including those requiring higher structural load factors. Because these manoeuvres place greater stress on the aircraft, the permitted operating weights are lower than those in the Normal Category. Pilots must ensure the aircraft meets Utility Category requirements before conducting approved manoeuvres.",(Add Utility Category loading diagram here.),None,Takeoff Weight = Ramp Weight − Taxi Fuel,POH Section 1 – Maximum Certificated Weights (Page 1-6),"- Normal Category Weights
- Weight & Balance
- Flight Training","• Common student mistake: Confusing Utility Category limits with Normal Category limits.

• Practical flying relevance: Utility Category limits must be observed before performing approved training manoeuvres.

• Possible oral viva question:
""When must the aircraft be operated in the Utility Category?""

• DGCA exam tip:

Ramp = **2107 lbs**

Takeoff = **2100 lbs**

Landing = **2100 lbs**

---"
"What are the individual weight limits for Baggage Area 1 and Baggage Area 2, and what is their maximum combined limit in the Normal Category?","Baggage Area 1: **120 lbs**

Baggage Area 2: **50 lbs**

Maximum Combined Weight: **120 lbs**","The baggage compartment has two loading areas with separate structural limits. Although Area 2 permits up to 50 lbs, the total combined baggage carried in both compartments must never exceed **120 lbs**. Exceeding these limits may shift the aircraft's centre of gravity beyond approved limits, reducing stability and controllability. Proper baggage loading is an essential part of every weight and balance calculation.",(Add baggage compartment layout here.),None,Baggage Area 1 + Baggage Area 2 ≤ **120 lbs**,POH Section 1 – Maximum Certificated Weights (Page 1-6),"- Normal Category Weights
- Weight & Balance
- Reference Datum","• Common student mistake: Assuming 120 lbs may be carried in Area 1 and another 50 lbs in Area 2 simultaneously.

• Practical flying relevance: Incorrect baggage loading can move the centre of gravity aft and reduce aircraft controllability.

• Possible oral viva question:
""If Area 2 contains 40 lbs of baggage, how much baggage may still be loaded into Area 1?""

• DGCA exam tip:

Area 1 = **120 lbs**

Area 2 = **50 lbs**

Combined Maximum = **120 lbs**"
"How is ""Standard Temperature"" defined at sea level, and what is its standard lapse rate with altitude?","Standard Temperature is **15°C at sea level pressure altitude**, and it decreases by **2°C for every 1000 feet** of altitude.","Standard Temperature is the baseline atmospheric temperature used for aircraft performance calculations. As altitude increases, temperature decreases at a standard rate of 2°C per 1000 feet. This standard atmosphere is used in performance charts, climb calculations, takeoff distance calculations, and density altitude computations. Understanding this concept is fundamental for interpreting the aircraft's performance data published in the POH.",(Add ISA atmosphere diagram here.),None,Standard Temperature = 15°C − (2°C × Altitude in thousands of feet),POH Section 1 – Meteorological Terminology (Page 1-9),"- Pressure Altitude
- Density Altitude
- Performance Charts","• Common student mistake: Confusing the standard temperature lapse rate with the standard pressure lapse rate.

• Practical flying relevance: Used whenever calculating aircraft performance at different airports and elevations.

• Possible oral viva question:
""What is the standard temperature at 5,000 feet?""

• DGCA exam tip:

Sea Level = **15°C**

Lapse Rate = **2°C per 1000 ft**

---"
"What is ""Pressure Altitude"" as defined in the Pilot's Operating Handbook?",Pressure Altitude is the altitude indicated when the altimeter is set to **29.92 inches of mercury (1013 hPa)**.,"Pressure Altitude is the starting point for aircraft performance calculations. By setting the altimeter to the standard pressure setting of 29.92 inHg (1013 hPa), pilots obtain pressure altitude, which is then corrected for non-standard temperature to determine density altitude. Pressure altitude is used throughout the POH performance charts and is one of the most important aviation altitude references.",(Add altimeter setting illustration here.),None,N/A,POH Section 1 – Meteorological Terminology (Page 1-9),"- Standard Temperature
- Density Altitude
- Altimeter Settings","• Common student mistake: Confusing Pressure Altitude with Density Altitude.

• Practical flying relevance: Required for takeoff, climb and landing performance calculations.

• Possible oral viva question:
""How do you determine pressure altitude while on the ground?""

• DGCA exam tip:

Remember:

29.92 inHg

1013 hPa

---"
